Country,ISO3,Region,income category,HepBintroduced,HepBintroducedBirth,HepB3dose,HepBbirth,schedule,Type,PreU5EstPre,PreU5EstPreLowCI,PreU5EstPreHighCI,PreU5EstCar,PreU5EstCarLowCI,PreU5EstCarHighCI,PreGPEstPre,PreGPEstPreLowCI,PreGPEstPreHighCI,PreGPEstCar,PreGPEstCarLowCI,PreGPEstCarHighCI,PostU5EstPre,PostU5EstPreLowCI,PostU5EstPreHighCI,PostU5EstCar,PostU5EstCarLowCI,PostU5EstCarHighCI,PostGPEstPre,PostGPEstPreLowCI,PostGPEstPreHighCI,PostGPEstCar,PostGPEstCarLowCI,PostGPEstCarHighCI,NumCarPrevU5,NumCarPrevU5LowCI,NumCarPrevU5HighCI,NumCarPrevGP,NumCarPrevGPLowCI,NumCarPrevGPHighCI,pop1990,pop1991,pop1992,pop1993,pop1994,pop1995,pop1996,pop1997,pop1998,pop1999,pop2000,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,U51990,U51995,U52000,U52005,U52010,U52015,births-1980-1985,births-1985-1990,births-1990-1995,births-1995-2000,births-2000-2005,births-2005-2010,births-2010-2015,InfMort1985-1990,InfMort1990-1995,InfMort1995-2000,InfMort2000-2005,InfMort2005-2010,InfMort2010-2015,UrbPop1990,UrbPop1995,UrbPop2000,UrbPop2005,UrbPop2010,UrbPop2015,Cov_HepB_BD_2015,Cov_HepB_BD_2014,Cov_HepB_BD_2013,Cov_HepB_BD_2012,Cov_HepB_BD_2011,Cov_HepB_BD_2010,Cov_HepB_BD_2009,Cov_HepB_BD_2008,Cov_HepB_BD_2007,Cov_HepB_BD_2006,Cov_HepB_BD_2005,Cov_HepB_BD_2004,Cov_HepB_BD_2003,Cov_HepB_BD_2002,Cov_HepB_BD_2001,Cov_HepB_BD_2000,Cov_HepB3_2015,Cov_HepB3_2014,Cov_HepB3_2013,Cov_HepB3_2012,Cov_HepB3_2011,Cov_HepB3_2010,Cov_HepB3_2009,Cov_HepB3_2008,Cov_HepB3_2007,Cov_HepB3_2006,Cov_HepB3_2005,Cov_HepB3_2004,Cov_HepB3_2003,Cov_HepB3_2002,Cov_HepB3_2001,Cov_HepB3_2000,Cov_HepB3_1999,Cov_HepB3_1998,Cov_HepB3_1997,Cov_HepB3_1996,Cov_HepB3_1995,Cov_HepB3_1994,Cov_HepB3_1993,Cov_HepB3_1992,Cov_HepB3_1991,Cov_HepB3_1990,PreU5EstPre-region,PreU5EstPreLowCI-region,PreU5EstPreHighCI-region,PreU5EstCar-region,PreU5EstCarLowCI-region,PreU5EstCarHighCI-region,PreGPEstPre-region,PreGPEstPreLowCI-region,PreGPEstPreHighCI-region,PreGPEstCar-region,PreGPEstCarLowCI-region,PreGPEstCarHighCI-region,PostU5EstPre-region,PostU5EstPreLowCI-region,PostU5EstPreHighCI-region,PostU5EstCar-region,PostU5EstCarLowCI-region,PostU5EstCarHighCI-region,PostGPEstPre-region,PostGPEstPreLowCI-region,PostGPEstPreHighCI-region,PostGPEstCar-region,PostGPEstCarLowCI-region,PostGPEstCarHighCI-region,NumCarPrevU5-region,NumCarPrevU5LowCI-region,NumCarPrevU5HighCI-region,NumCarPrevGP-region,NumCarPrevGPLowCI-region,NumCarPrevGPHighCI-region,PreU5EstPre-income,PreU5EstPreLowCI-income,PreU5EstPreHighCI-income,PreU5EstCar-income,PreU5EstCarLowCI-income,PreU5EstCarHighCI-income,PreGPEstPre-income,PreGPEstPreLowCI-income,PreGPEstPreHighCI-income,PreGPEstCar-income,PreGPEstCarLowCI-income,PreGPEstCarHighCI-income,PostU5EstPre-income,PostU5EstPreLowCI-income,PostU5EstPreHighCI-income,PostU5EstCar-income,PostU5EstCarLowCI-income,PostU5EstCarHighCI-income,PostGPEstPre-income,PostGPEstPreLowCI-income,PostGPEstPreHighCI-income,PostGPEstCar-income,PostGPEstCarLowCI-income,PostGPEstCarHighCI-income,NumCarPrevU5-income,NumCarPrevU5LowCI-income,NumCarPrevU5HighCI-income,NumCarPrevGP-income,NumCarPrevGPLowCI-income,NumCarPrevGPHighCI-income
Czech Republic,CZE,EURO,High income,2001,2016,97,,"9, 13, 17 weeks; 18 months;",DTaPHibHepIPV,1.5,1,2.3,8,5,12,1.5,1,2.2,155,103,231,0.4,0.2,0.6,2,1,3,1.3,0.9,2,140,93,208,6,4,9,20,14,30,10341.169,10346.75,10353.318,10358.972,10361.242,10358.456,10350.57,10338.593,10323.488,10306.645,10289.594,10271.204,10252.439,10239.277,10239.536,10258.176,10298.288,10356.586,10423.794,10486.845,10536.286,10568.715,10586.755,10594.481,10598.526,10603.762,647.438,593.649,447.39,468.122,568.872,552.36,704.27,655.563,598.5,449.548,468.628,562.064,552.047,11.334,8.989,5.453,3.949,3.073,2.524,75.22,74.643,73.988,73.602,73.255,72.992,,,,,,,,,,,,,,,,,97,99,99,99,99,99,99,99,99,98,99,98,92,86,,,,,,,,,,,,,2.3,1.6,3.8,1296,907,2156,2,1.4,3.2,18019,13147,28637,0.4,0.2,0.8,233,144,439,1.6,1.2,2.6,14705,10744,23468,1059,726,1773,3757,2679,6015,1,0.8,1.6,664,486,1040,1.1,0.8,1.6,12291,9346,18094,0.37,0.25,0.62,235,162,392,0.9,0.69,1.34,10352,7862,15312,427,305,670,2445,1814,3649
Germany,DEU,EURO,High income,1992,2016,88,,"2, 4, 11-14 months; 2, 3, 4, 11-14 months;",HepB_Pediatric; DTaPHibHepIPV,0.8,0.6,1.1,27,20,37,0.8,0.6,1.1,648,500,852,0.2,0.2,0.4,8,5,12,0.7,0.5,0.9,545,415,720,19,13,27,119,89,164,79118.326,79564.454,80046.157,80520.088,80931.041,81240.604,81426.337,81499.866,81499.232,81481.612,81487.757,81535.848,81611.868,81686.495,81715.659,81671.234,81540.353,81344.457,81130.944,80965.612,80894.785,80933.98,81066.228,81265.139,81489.66,81707.789,4358.379,4082.386,3920.388,3599.277,3390.619,3517.798,4172.796,4301.331,3967.812,3893.393,3584.544,3393.426,3467.663,8.277,5.991,4.755,4.152,3.666,3.359,73.118,73.286,73.067,73.355,74.291,75.301,,,,,,,,,,,,,,,,,88,88,88,88,88,88,88,87,86,87,90,88,90,87,86,84,81,81,71,57,45,32,15,,,,2.3,1.6,3.8,1296,907,2156,2,1.4,3.2,18019,13147,28637,0.4,0.2,0.8,233,144,439,1.6,1.2,2.6,14705,10744,23468,1059,726,1773,3757,2679,6015,1,0.8,1.6,664,486,1040,1.1,0.8,1.6,12291,9346,18094,0.37,0.25,0.62,235,162,392,0.9,0.69,1.34,10352,7862,15312,427,305,670,2445,1814,3649
Djibouti,DJI,EMRO,Lower middle income,2006,2012,84,92,"birth; 6, 10, 14 weeks;",HepB monovalent; DTwPHibHepB,4.2,0.4,28,4,0,29,4.1,0.4,27,36,3,240,0.6,0.1,5.2,1,0,5,3.4,0.4,22.9,31,3,203,4,0,23,11,1,72,590.398,606.844,615.054,618.495,622.366,630.388,643.682,660.953,680.612,700.099,717.584,732.711,746.221,758.615,770.752,783.254,796.208,809.402,822.934,836.84,851.146,865.937,881.185,896.688,912.164,927.414,107.065,99.837,102.51,102.907,99.366,101.123,80.044,101.534,118.584,111.775,112.909,107.827,107.994,81.245,76.127,71.771,68.121,63.432,55.295,75.957,76.3,76.532,76.761,76.996,77.343,92,94,86,87,,,,,,,,,,,,,84,78,82,81,87,88,89,88,25,,,,,,,,,,,,,,,,,,4.6,3.5,6.1,3620,2743,4822,4.2,3.3,5.5,27016,21222,35614,1.6,1.2,2.1,1339,968,1817,3.3,2.6,4.3,21336,16831,27906,2277,1608,3202,8441,6394,11314,4,3,6,12551,9367,18748,3.6,2.8,5.5,105876,81134,161331,1.25,0.87,2.08,3936,2749,6544,2.97,2.28,4.56,86777,66614,133271,8595,6143,12776,30465,22763,45774
Dominica,DMA,PAHO,Upper middle income,2006,2016,98,,"birth; 2, 4, 6 months; >=15 years; +4 weeks; +6 months;",HepB_Pediatric (Those whose parents are Hep B + or have no  Hep B antigen done in pregnance  or no record of immunization coverage); DTwPHibHepB; HepB_Adult (unimmunized adults),1.4,0.2,9,0,0,1,1.4,0.2,9.4,1,0,5,0.4,0,2.7,0,0,0,1.2,0.2,8.3,0,0,3,0,0,0,0,0,1,70.926,70.842,70.97,71.21,71.373,71.368,71.145,70.753,70.29,69.903,69.676,69.67,69.824,70.093,70.379,70.627,70.807,70.95,71.074,71.229,71.44,71.718,72.044,72.4,72.778,73.162,,,,,,,,,,,,,,,,,,,,63.079,64.831,65.265,66.601,68.094,69.539,,,,,,,,,,,,,,,,,98,97,96,97,98,98,99,96,93,7,,,,,,,,,,,,,,,,,0.9,0.6,2.4,675,417,1790,0.9,0.6,2.1,8345,5485,20385,0.2,0.1,0.5,133,73,406,0.7,0.4,1.6,6623,4359,16088,540,330,1395,2072,1320,5198,5,3.8,6.8,9354,7204,12759,5.4,4.4,7,141515,113024,183077,0.67,0.45,1.05,1267,845,1976,4.57,3.66,5.88,118877,95081,152874,8091,6039,11006,25987,20159,34973
Denmark,DNK,EURO,High income,2015,2016,,,"birth; 1, 2, 12 months; 3, 5, 12 months;","HepB_Pediatric (Neonates of HBsAG pos mothers, given as monovalent hep H vaccine if not part of the temporary program with hexavalent vaccine.); DTaPHibHepIPV (temporarily in use in 2016)",0.8,0.6,1.1,2,2,3,0.8,0.6,1,45,34,58,0.8,0.6,1.1,2,2,3,0.8,0.6,1,45,34,58,0,0,0,5,4,7,5141.115,5154.908,5171.65,5190.742,5211.334,5232.704,5254.86,5277.711,5300.379,5321.774,5341.194,5358.062,5372.801,5386.968,5402.761,5421.702,5444.303,5469.957,5497.795,5526.447,5554.844,5582.873,5610.66,5637.817,5663.914,5688.695,291.393,338.737,338.606,325.847,325.865,295.077,265.229,289.072,332.439,333.879,322.613,322.398,292.728,8.035,6.236,4.928,4.545,3.735,3.509,84.843,84.979,85.1,85.856,86.795,87.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,1.6,3.8,1296,907,2156,2,1.4,3.2,18019,13147,28637,0.4,0.2,0.8,233,144,439,1.6,1.2,2.6,14705,10744,23468,1059,726,1773,3757,2679,6015,1,0.8,1.6,664,486,1040,1.1,0.8,1.6,12291,9346,18094,0.37,0.25,0.62,235,162,392,0.9,0.69,1.34,10352,7862,15312,427,305,670,2445,1814,3649
Dominican Republic,DOM,PAHO,Upper middle income,1997,2001,81,64,"birth; 2, 4, 6 months; 1st contact; +1, +6 months;",HepB_Pediatric; DTwPHibHepB; HepB_Adult (risk groups),2,0.2,17.8,21,2,189,2,0.2,18.1,212,17,1901,0.3,0,3.3,4,0,35,1.5,0.1,13.4,156,12,1404,18,1,150,63,4,547,7183.647,7325.622,7468.551,7611.465,7753.052,7892.423,8029.113,8163.472,8296.375,8429.112,8562.622,8697.126,8832.285,8967.76,9102.998,9237.566,9371.338,9504.353,9636.52,9767.758,9897.985,10027.095,10154.95,10281.296,10405.844,10528.394,987.914,1026.806,1019.829,1053.691,1065.81,1062.224,1027.066,1056.532,1080.774,1066.364,1094.18,1100.633,1091.848,62.909,47.634,41.324,34.933,29.567,25.079,55.226,57.596,61.746,67.364,73.752,78.98,64,67,63,59,67,65,58,54,46,75,75,66,66,66,66,,81,89,80,74,80,83,80,81,81,84,87,82,79,63,66,68,76,62,,,,,,,,,0.9,0.6,2.4,675,417,1790,0.9,0.6,2.1,8345,5485,20385,0.2,0.1,0.5,133,73,406,0.7,0.4,1.6,6623,4359,16088,540,330,1395,2072,1320,5198,5,3.8,6.8,9354,7204,12759,5.4,4.4,7,141515,113024,183077,0.67,0.45,1.05,1267,845,1976,4.57,3.66,5.88,118877,95081,152874,8091,6039,11006,25987,20159,34973
Algeria,DZA,AFRO,Upper middle income,2001,2004,95,99,"birth; 1, 5 months;",HepB monovalent,2.3,1.6,3.3,105,72,149,2.3,1.6,3.1,905,636,1248,0.2,0.1,0.3,10,6,16,1.8,1.2,2.4,695,487,962,95,64,136,238,163,340,25912.367,26554.329,27181.094,27786.259,28362.253,28904.298,29411.415,29886.839,30335.732,30765.613,31183.66,31592.153,31995.046,32403.514,32831.096,33288.437,33777.915,34300.076,34860.715,35465.76,36117.637,36819.558,37565.847,38338.562,39113.313,39871.528,3994.211,3734.288,3087.831,2964.659,3860.2,4663.613,4272.385,4266.553,3950.963,3245.908,3098.514,4007.791,4808.212,55.376,47.664,41.916,37.255,32.593,27.66,52.085,55.997,59.919,63.83,67.526,70.727,99,99,99,99,99,99,99,99,99,97,97,97,,,,,95,95,95,95,95,95,94,91,90,80,83,81,,,,,,,,,,,,,,,7.9,5.8,11.1,12545,9295,17765,7.6,5.8,10.6,75409,57512,104420,3,2,4.7,4883,3334,7571,6.1,4.6,8.5,59863,45409,83665,7631,5388,10905,26758,19760,37788,5,3.8,6.8,9354,7204,12759,5.4,4.4,7,141515,113024,183077,0.67,0.45,1.05,1267,845,1976,4.57,3.66,5.88,118877,95081,152874,8091,6039,11006,25987,20159,34973
Ecuador,ECU,PAHO,Upper middle income,1999,2012,78,75,"birth; 2, 4, 6 months; 1st contact; +1, +6 months;",HepB_Pediatric; DTwPHibHepB; HepB_Adult (risk groups),1.8,0.2,14.8,29,4,238,1.7,0.2,14.5,279,37,2337,0.3,0,3,5,1,48,1.4,0.2,11.4,219,29,1844,23,3,188,74,10,607,10218.091,10460.99,10705.667,10951.202,11196.479,11440.583,11683.479,11924.993,12163.885,12398.691,12628.596,12852.755,13072.06,13289.601,13509.647,13735.233,13967.48,14205.453,14447.562,14691.275,14934.69,15177.355,15419.666,15661.547,15903.112,16144.368,1417.152,1480.015,1519.214,1517.59,1574.402,1610.333,1424.294,1511.219,1555.193,1580.476,1566.586,1616.214,1648.239,55.048,43.119,33.797,27.091,23.373,21.06,55.09,57.766,60.299,61.711,62.69,63.742,75,79,69,16,,,,,,,,,,,,,78,83,87,88,88,90,91,93,94,96,92,88,82,75,69,36,,,,,,,,,,,0.9,0.6,2.4,675,417,1790,0.9,0.6,2.1,8345,5485,20385,0.2,0.1,0.5,133,73,406,0.7,0.4,1.6,6623,4359,16088,540,330,1395,2072,1320,5198,5,3.8,6.8,9354,7204,12759,5.4,4.4,7,141515,113024,183077,0.67,0.45,1.05,1267,845,1976,4.57,3.66,5.88,118877,95081,152874,8091,6039,11006,25987,20159,34973
Egypt,EGY,EMRO,Lower middle income,1993,2016,93,,"birth; 2, 4, 6 months; 1st contact; +1, +6 months;",HepB_Pediatric; DTwPHibHepB; HepB_Adult,2.8,2.2,3.7,340,262,444,2.8,2.2,3.5,2564,2040,3196,0.8,0.5,1.1,97,66,134,2,1.6,2.4,1794,1433,2222,244,179,331,898,688,1159,57412.215,58752.39,60035.536,61275.601,62495.745,63714.386,64933.456,66151.117,67378.056,68626.664,69905.988,71226.94,72590.118,73981.942,75381.899,76778.149,78159.048,79537.253,80953.881,82465.022,84107.606,85897.561,87813.257,89807.433,91812.566,93778.172,9041.133,8510.313,8272.629,9000.943,9868.701,12374.443,9151.627,9881.04,9129.037,8633.702,9310.28,10142.269,12661.897,74.298,59.554,36.682,29.353,23.464,18.919,43.478,42.814,42.797,43.027,43.019,43.135,,,,,,,,,,,,,,,,,93,94,97,93,96,97,97,97,98,98,98,97,98,97,99,98,97,88,81,77,74,57,,,,,4.6,3.5,6.1,3620,2743,4822,4.2,3.3,5.5,27016,21222,35614,1.6,1.2,2.1,1339,968,1817,3.3,2.6,4.3,21336,16831,27906,2277,1608,3202,8441,6394,11314,4,3,6,12551,9367,18748,3.6,2.8,5.5,105876,81134,161331,1.25,0.87,2.08,3936,2749,6544,2.97,2.28,4.56,86777,66614,133271,8595,6143,12776,30465,22763,45774
Eritrea,ERI,AFRO,Low income,2001,2016,95,,"6, 10, 14 weeks;",DTwPHibHepB,2.6,2,3.3,21,16,27,2.6,2.1,3.2,134,108,166,0.7,0.5,1.1,6,4,9,1.9,1.5,2.3,96,78,119,15,11,20,49,39,63,3113.311,3127.297,3118.582,3099.047,3085.443,3090.159,3116.379,3161.35,3224.223,3302.263,3392.801,3497.124,3614.639,3738.265,3858.623,3969.007,4066.648,4153.332,4232.636,4310.334,4390.84,4474.69,4560.977,4650.998,4746.045,4846.976,550.889,516.888,517.874,621.635,715.42,744.471,579.706,638.849,610.675,571.287,659.806,769.391,793.282,111.7,94.537,71.182,59.39,51.667,45.021,15.8,16.536,17.555,18.889,20.572,22.637,,,,,,,,,,,,,,,,,95,94,94,94,96,90,92,94,91,94,96,84,91,86,,,,,,,,,,,,,7.9,5.8,11.1,12545,9295,17765,7.6,5.8,10.6,75409,57512,104420,3,2,4.7,4883,3334,7571,6.1,4.6,8.5,59863,45409,83665,7631,5388,10905,26758,19760,37788,8.3,6,12.6,8468,6106,12909,7.9,5.8,12.6,50684,37266,80493,3.4,2.29,5.55,3483,2341,5676,6.37,4.65,10.29,40633,29675,65676,4954,3369,7698,17920,12878,27487
Spain,ESP,EURO,High income,1995,2016,97,,"birth; 2,  6 months; ",HepB_Pediatric; DTaPHibHepIPV; HepB_Adult (risk groups),0.7,0.5,0.9,15,11,19,0.7,0.5,0.9,317,244,398,0.2,0.1,0.3,4,3,6,0.6,0.4,0.7,265,206,334,11,8,14,61,47,79,39306.102,39403.2,39515.511,39638.635,39764.562,39890.498,40009.324,40131.56,40292.642,40539.723,40903.711,41392.103,41985.52,42653.406,43351.668,44042.632,44725.532,45393.858,45997.806,46476.072,46788.63,46909.138,46857.404,46697.553,46521.827,46397.664,2108.083,1952.525,1891.422,2192.54,2466.52,2169.476,2573.308,2133.61,1965.034,1899.89,2173.275,2425.681,2178.802,8.303,6.631,4.935,4.027,3.374,2.88,75.351,75.856,76.262,77.263,78.442,79.579,,,,,,,,,,,,,,,,,97,96,95,96,97,97,96,97,96,97,96,97,81,82,83,77,80,81,84,82,,,,,,,2.3,1.6,3.8,1296,907,2156,2,1.4,3.2,18019,13147,28637,0.4,0.2,0.8,233,144,439,1.6,1.2,2.6,14705,10744,23468,1059,726,1773,3757,2679,6015,1,0.8,1.6,664,486,1040,1.1,0.8,1.6,12291,9346,18094,0.37,0.25,0.62,235,162,392,0.9,0.69,1.34,10352,7862,15312,427,305,670,2445,1814,3649
Estonia,EST,EURO,High income,2003,2016,91,,"birth; 1, 6 months; ","HepB_Pediatric ( or 12 years; +1, +6 months;); DTaPHibHepIPV (From January 2018)",1.2,0.2,8.8,1,0,6,1.2,0.2,8.7,16,2,114,0.4,0.1,2.8,0,0,2,1.1,0.2,7.9,14,2,104,1,0,4,3,0,15,1565.242,1548.215,1520.81,1488.059,1457.093,1433.024,1417.736,1409.674,1406.35,1403.789,1399.112,1391.729,1382.732,1372.909,1363.565,1355.648,1349.297,1344.072,1339.712,1335.83,1332.102,1328.449,1324.934,1321.56,1318.359,1315.321,119.342,79.637,61.287,66.212,77.67,71.079,114.535,120.735,83.894,64.783,66.693,77.529,71.181,18.256,16.334,11.987,7.264,4.749,3.195,71.231,70.3,69.368,68.735,68.094,67.538,,,,,,,,,,,,,,,,,91,93,93,94,94,94,95,94,95,95,95,90,,,,,,,,,,,,,,,2.3,1.6,3.8,1296,907,2156,2,1.4,3.2,18019,13147,28637,0.4,0.2,0.8,233,144,439,1.6,1.2,2.6,14705,10744,23468,1059,726,1773,3757,2679,6015,1,0.8,1.6,664,486,1040,1.1,0.8,1.6,12291,9346,18094,0.37,0.25,0.62,235,162,392,0.9,0.69,1.34,10352,7862,15312,427,305,670,2445,1814,3649
Ethiopia,ETH,AFRO,Low income,2006,2016,86,,"6, 10, 14 weeks;",DTwPHibHepB,6.8,5.3,8.4,991,779,1227,6.7,5.6,8.1,6664,5526,8053,2.6,1.9,3.4,381,277,492,5.7,4.7,6.8,5647,4696,6777,606,437,805,2284,1796,2848,48086.516,49821.083,51647.768,53532.956,55431.123,57309.88,59155.148,60976.45,62794.151,64640.054,66537.331,68492.257,70497.192,72545.144,74624.405,76727.083,78850.689,81000.409,83184.892,85416.253,87702.67,90046.756,92444.183,94887.724,97366.774,99873.033,9101.55,10591.714,12409.891,13485.013,13934.223,14901.07,9368.801,10731.855,12302.081,14086.119,14816.251,14952.882,15775.995,125.817,114.097,96.673,77.958,59.87,45.806,12.621,13.827,14.74,15.7,17.319,19.472,,,,,,,,,,,,,,,,,86,77,72,69,65,62,56,52,47,,,,,,,,,,,,,,,,,,7.9,5.8,11.1,12545,9295,17765,7.6,5.8,10.6,75409,57512,104420,3,2,4.7,4883,3334,7571,6.1,4.6,8.5,59863,45409,83665,7631,5388,10905,26758,19760,37788,8.3,6,12.6,8468,6106,12909,7.9,5.8,12.6,50684,37266,80493,3.4,2.29,5.55,3483,2341,5676,6.37,4.65,10.29,40633,29675,65676,4954,3369,7698,17920,12878,27487
Finland,FIN,EURO,High income,2015,2016,,,,HepB_Adult (medical at risk); HepB_Pediatric (medical at risk),1.1,0.1,10.7,3,0,33,1.1,0.1,10.8,58,5,592,1.1,0.1,10.7,3,0,33,1.1,0.1,10.8,58,5,592,0,0,0,6,1,59,4996.222,5019.125,5044.925,5071.789,5097.097,5119.005,5136.979,5151.746,5164.242,5175.926,5187.954,5200.479,5213.373,5227.103,5242.185,5258.927,5277.57,5298.014,5319.902,5342.646,5365.782,5389.242,5412.98,5436.616,5459.717,5481.966,311.366,326.724,294.746,284.683,301.715,300.17,323.446,311.039,325.476,295.618,285.828,298.016,292.788,5.964,4.934,3.838,3.211,2.711,2.252,79.367,80.963,82.183,82.905,83.558,84.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,1.6,3.8,1296,907,2156,2,1.4,3.2,18019,13147,28637,0.4,0.2,0.8,233,144,439,1.6,1.2,2.6,14705,10744,23468,1059,726,1773,3757,2679,6015,1,0.8,1.6,664,486,1040,1.1,0.8,1.6,12291,9346,18094,0.37,0.25,0.62,235,162,392,0.9,0.69,1.34,10352,7862,15312,427,305,670,2445,1814,3649
Fiji,FJI,WPRO,Upper middle income,1992,2001,99,90,"birth; 6, 10, 14 weeks; 1st contact; +6, +14 weeks;","HepB_Pediatric; DTwPHibHepB; HepB_Adult (health care workers, medical and nursing students)",3.4,2.4,4.6,3,2,4,3.4,2.4,4.5,30,21,40,0.3,0.2,0.5,0,0,0,2.2,1.6,2.9,19,14,26,3,2,4,11,8,15,728.628,735.473,744.531,755.026,765.667,775.498,784.476,792.86,800.315,806.494,811.223,814.218,815.691,816.628,818.354,821.817,827.411,834.812,843.34,851.967,859.95,867.086,873.596,879.715,885.806,892.149,99.95,99.373,98.25,89.216,89.605,88.08,111.405,107.122,105.845,101.735,97.864,94.33,90.557,28.99,25.185,21.873,18.99,17.934,16.013,41.611,45.496,47.908,49.871,51.828,53.728,90,90,90,90,90,90,90,90,90,90,90,86,96,95,99,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,90,82,60,88,,,,7.3,5.7,9.2,8634,6791,10882,7.3,6,8.9,135566,109881,165204,0.9,0.6,1.3,1096,760,1525,6.2,5.1,7.6,114754,93088,139501,7547,5755,9539,23990,19015,29870,5,3.8,6.8,9354,7204,12759,5.4,4.4,7,141515,113024,183077,0.67,0.45,1.05,1267,845,1976,4.57,3.66,5.88,118877,95081,152874,8091,6039,11006,25987,20159,34973
France,FRA,EURO,High income,1997,2016,83,,"2, 4, 11 months;",DTaPHibHepIPV,0,0,0,1,1,1,0,0,0,15,12,18,0,0,0,0,0,0,0,0,0,13,10,16,1,0,1,3,2,3,56960.835,57237.702,57496.974,57744.82,57990.661,58241.791,58499.689,58763.395,59034.921,59316.107,59608.201,59911.252,60225.076,60550.097,60886.607,61233.9,61592.884,61960.95,62329.567,62687.521,63026.74,63343.577,63639.873,63919.917,64190.638,64457.201,3785.67,3628.348,3698.472,3845.483,3939.771,3873.546,3846.472,3810.823,3645.957,3696.239,3837.466,3933.58,3866.151,8.009,6.801,4.744,4.273,3.681,3.371,74.056,74.912,75.871,77.13,78.345,79.52,,,,,,,,,,,,,,,,,83,83,74,78,74,65,51,47,42,39,35,35,28,29,28,26,24,27,,,,,,,,,2.3,1.6,3.8,1296,907,2156,2,1.4,3.2,18019,13147,28637,0.4,0.2,0.8,233,144,439,1.6,1.2,2.6,14705,10744,23468,1059,726,1773,3757,2679,6015,1,0.8,1.6,664,486,1040,1.1,0.8,1.6,12291,9346,18094,0.37,0.25,0.62,235,162,392,0.9,0.69,1.34,10352,7862,15312,427,305,670,2445,1814,3649
Micronesia (Federated States of),FSM,WPRO,Lower middle income,1988,2000,78,69,"birth; 2, 4, 6 months;",HepB_Pediatric; DTaPHepIPV,5.8,4,8.5,1,0,1,5.8,4,8.3,6,4,9,0.9,0.6,1.4,0,0,0,3.5,2.5,5.1,4,3,5,1,0,1,3,1,4,96.331,98.799,101.413,103.934,106.057,107.556,108.344,108.502,108.238,107.816,107.432,107.165,106.983,106.816,106.577,106.196,105.684,105.078,104.478,103.96,103.616,103.468,103.503,103.702,104.015,104.433,15.335,16.231,14.999,13.33,11.996,11.564,15.58,16.156,16.729,16.872,15.014,12.86,12.255,44.625,42.289,39.974,37.923,34.865,33.206,25.818,25.068,22.33,22.33,22.298,22.424,69,69,69,81,81,80,88,87,86,90,93,83,79,74,70,65,78,81,83,82,83,88,89,89,90,84,91,80,89,85,81,87,77,79,78,80,82,82,82,73,65,56,7.3,5.7,9.2,8634,6791,10882,7.3,6,8.9,135566,109881,165204,0.9,0.6,1.3,1096,760,1525,6.2,5.1,7.6,114754,93088,139501,7547,5755,9539,23990,19015,29870,4,3,6,12551,9367,18748,3.6,2.8,5.5,105876,81134,161331,1.25,0.87,2.08,3936,2749,6544,2.97,2.28,4.56,86777,66614,133271,8595,6143,12776,30465,22763,45774
Gabon,GAB,AFRO,Upper middle income,2004,2016,80,,"6, 10, 14 weeks;",DTwPHibHepB,11,8.5,13.9,26,20,33,11,8.9,13.4,189,153,230,4.2,3,5.7,10,7,14,9.1,7.4,11.2,157,128,192,16,12,22,57,46,73,952.212,978.223,1004.676,1031.504,1058.663,1086.137,1113.994,1142.324,1171.224,1200.773,1231.122,1262.259,1294.409,1328.146,1364.205,1403.126,1444.844,1489.193,1536.411,1586.754,1640.21,1697.101,1756.817,1817.271,1875.713,1930.175,155.376,171.649,185.356,200.22,229.946,266.92,149.197,168.151,184.976,199.506,214.896,243.861,279.677,62.95,60.021,58.968,58.126,49.332,40.847,69.143,75.358,80.082,83.421,85.697,87.156,,,,,,,,,,,,,,,,,80,70,79,82,75,67,79,82,75,52,28,,,,,,,,,,,,,,,,7.9,5.8,11.1,12545,9295,17765,7.6,5.8,10.6,75409,57512,104420,3,2,4.7,4883,3334,7571,6.1,4.6,8.5,59863,45409,83665,7631,5388,10905,26758,19760,37788,5,3.8,6.8,9354,7204,12759,5.4,4.4,7,141515,113024,183077,0.67,0.45,1.05,1267,845,1976,4.57,3.66,5.88,118877,95081,152874,8091,6039,11006,25987,20159,34973
